song,lyrics
STARGAZING,"[Part I]

[Chorus]
Rollin', rollin', rollin', got me stargazin' (yeah)
Sippin' on purp, feelin' like the Barre Baby (it's lit)
Whenever I'm down, it got me goin' crazy (yah)
Psychedelics got me goin' crazy (alright)

[Post-Chorus]
I was hot as hell out in the heat (yeah, yeah)
Then the storm came in to save my life
Meditate, just got down on my knees (straight up)
Out of nowhere, you came in to save the night
In the nighttime (woo, yah)

[Verse 1]
Rollin', rollin', rollin', got me stargazin' (roll)
Psychedelics got me goin' crazy (oh no)
Niggas femalin', they excellin' (yeah)
Are they intellin'? (what you tellin'?)
We propellin', up top with Ellen, uh (with the choppers)
Kill the jealous with propane repellent
Got me goin' crazy (it's lit)
On tour, we'll tell 'em, we brought the section (gang)
They keep on callin' up, it's getting hectic like we projected
So we cut the plug, he's interjected (got me goin' crazy)

[Chorus]
Rollin', rollin', rollin', got me stargazin' (yeah)
Sippin' on purp, feelin' like the Barre Baby (it's lit)
Whenever I'm down, it got me goin' crazy (yah)
Psychedelics got me goin' crazy (alright)

[Post-Chorus]
I was hot as hell out in the heat (yeah, yeah)
Then the storm came in to save my life
Meditate, just got down on my knees (straight up)
Out of nowhere, you came in to save the night
In the nighttime (woo, yah)

[Interlude]
Got me goin' crazy

[Part II]

[Verse 2]
Ok, I been up for some days, I ain't got time to lay
Just to drown out all these thoughts, I tried all kind of things
If I take you to my past you will be traumatized
Got a thousand kids outside that's tryna come alive
'99, took AstroWorld, it had to relocate
Told the dogs I'd bring it back, it was a seal of faith
Before no car note, baby girl, she played the tourist guide
Got the keys into my city, now she know the rides
Got new money, got new problems, got new enemies
When you make it to the top, it's the amenities
Packin' out Toyota like I'm in the league
And it ain't a mosh pit if ain't no injuries
I got 'em stage divin' out the nose bleeds (alright, alright, alright)
And she hit that booger sugar 'til her nose bleed (alright, alright, alright)
Bounce that shit forever, she on both knees
She was talkin' 'bout forever got a whole week (alright, alright, alright)
But she know my baby mama is a trophy
She be throwing up them B's feel like we both bleed
She keep my dick jumpin' up, I feel like I'm Moby
I'm way too gold for this beef, feel like I'm Kobe, yeah
This right here is astronomical
I see you picked up all my ways, I feel responsible
They tryna say that all my problems is improbable
They keep itching at my spirit, I'm diabolical
You feel me?"
CAROUSEL,"[Intro: Big Tuck]
What’s crackin’?
You already know who it is
Ya boy, Big Tuck
Freight Train Tuck
Astroworld is now in session, ya understand?
I’m the dean of this here
I got this

[Verse 1: Travis Scott]
Yeah, yeah
Parked at the Days Inn, ain’t takin’ no days in (yeah)
Don’t need a vacation, I need a replacement (alright)
Bustin’ the lights out soon as we came in (it's lit)
What’re they talkin’ about, what’s it pertainin’ (yeah, yeah)
Need me a therapist to ask if I’m aging (yeah)
This M-E-D it feel caved in (yeah)
All of my demons invadin’
I live paranoid, hesitatin’
They bitin', they bitin', the cadence (skrt, skrt)
Go out their way, it's okay
Just lock the doors at the basement
I got a gate with my face in it

[Chorus: Frank Ocean]
Brand new, brand new, this new place I got to
New world, new sky that's so blue it's black too
New growth, new growth, all these fades I outgrew
Blue bands, blue bands, get my cash from drive-thru
Boy you're too flash, too flash, keep the flash minimal
Bitch, I'm too cold, too cold, see my breath visible

[Verse 2: Travis Scott]
Yeah
Icy cold, it is so, it is so icy cold, yeah
Mixing the water with cheese is making the money get mold, yeah
Trying to be like gang, you better go get it in Vogue, yeah
Put 84's on lanes, I ride by you think it is spokes
We did it, we said it, we spoke, yeah
We put it out, thought it was smoke, this 504, uh
This is at home, right down the street, from Alamo

[Verse 3: Frank Ocean & Travis Scott]
Moving in silence don't mean it's movin' slow
Even though the speed got old
Sprinkling methamphetamines
On the leaves like the snow
Bet they soak
I'm a new species, tail swings on the road
Come to reach and lose both
Got springs like a toad
Some for free in the tote
Saké drown like round white diamonds
Carats (yah)
Copy sound, might got two wings, parrot (alright!)
Landing down wind, caught two wings (it's lit!)
Talons scrape, hit the stage, two wings (yeah, yeah!)
Better pray, better pray, two wings (straight up!)

[Chorus: Frank Ocean]
Brand new, brand new, this new place I got to
New world, new sky that's so blue it's black too
New growth, new growth, all these fades I outgrew
Blue bands, blue bands, get my cash from drive-thru
Boy you're too flash, too flash, keep the flash minimal
Bitch, I'm too cold, too cold, see my breath visible"
SICKO MODE,"[Part I]

[Intro: Drake]
Astro, yeah
Sun is down, freezin' cold
That's how we already know, winter's here
My dawg would probably do it for a Louis belt
That's just all he know, he don't know nothin' else
I tried to show 'em, yeah
I tried to show 'em, yeah, yeah
Yeah, yeah, yeah
Gone on you with the pick and roll
Young La Flame, he in sicko mode

[Part II]

[Verse 1: Travis Scott & The Notorious B.I.G.]
Woo, made this here with all the ice on in the booth
At the gate outside, when they pull up, they get me loose
Yeah, Jump Out boys, that's Nike boys, hoppin' out coupes
This shit way too big when we pull up give me the loot (gimme the loot!)
Was off the Remy, had to Papoose
Had to hit my old town to duck the news
Two-four hour lockdown, we made no moves
Now it's 4 AM and I'm back up poppin' with the crew
I just landed in, Chase B mix this pop like Jamba Juice
Different colored chains, think my jeweler really sellin' fruits
And they chokin', man, know the crackers wish it was a noose

[Bridge: Big Hawk, Swae Lee & Travis Scott]
Some-some-some, someone said
To win the retreat, we all in too deep
P-p-playin' for keeps, don't play us for weak (someone said)
To win the retreat, we all in too deep
P-p-playin' for keeps, don't play us for weak (yeah)

[Verse 2: Travis Scott, Swae Lee & Luke]
This shit way too formal, y'all know I don’t follow suit
Stacey Dash, most of these girls ain't got a clue
All of these hoes I made off records I produced
I might take all my exes and put 'em all in a group
Hit my eses, I need the booch
'Bout to turn this function to Bonnaroo
Told her ""Hop in, you comin' too""
In the 305, bitches treat me like I'm Uncle Luke (don't stop, pop that pussy!)
Had to slop the top off, it's just a roof, uh
She said ""Where we goin'?"" I said ""The moon""
We ain't even make it to the room
She thought it was the ocean, it's just the pool
Now I got her open, it's just the Goose
Who put this shit together? I'm the glue (someone said)
Shorty FaceTimed me out the blue

[Bridge: Big Hawk & Swae Lee]
(Someone said) P-playin' for keeps
Someone said, motherf- what someone said
Don't play us for weak

[Part III]

[Intro: Drake & Travis Scott]
Yeah
Astro, yeah, yeah
Tay Keith, fuck these niggas up
Ay, ay

[Chorus: Drake & Travis Scott]
She's in love with who I am
Back in high school, I used to bus it to the dance (yeah)
Now I hit the FBO with duffels in my hands
I did half a Xan, thirteen hours 'til I land
Had me out like a light, ayy, yeah, like a light, ayy, yeah
Like a light, ayy

[Verse 3: Drake & Travis Scott]
Slept through the flight, ayy
Knocked for the night, ayy, 767, man
This shit got double bedroom, man
I still got scores to settle, man
I crept down the block (down the block) made a right (yeah, right)
Cut the lights (yeah, what?) paid the price (yeah)
Niggas think it's sweet (nah, nah) it's on sight (yeah, what?)
Nothin' nice (yeah) baguettes in my ice (aww, man)
Jesus Christ (yeah) checks over stripes (yeah)
That's what I like (yeah) that's what we like (yeah)
Lost my respect, you not a threat
When I shoot my shot, that shit wetty like I'm Sheck (bitch!)
See the shots that I took (ayy) wet like I'm Book (ayy)
Wet like I'm Lizzie, I be spinnin' Valley
Circle blocks 'til I'm dizzy (yeah, what?)
Like where is he? (yeah, what?)
No one seen him (yeah, yeah)
I'm tryna clean 'em (yeah)

[Chorus: Drake & Travis Scott]
She's in love with who I am
Back in high school, I used to bus it to the dance
Now I hit the FBO with duffels in my hand (woo!)
I did half a Xan, thirteen hours 'til I land
Had me out like a light (like a light)
Like a light (like a light)
Like a light (like a light)
Like a light (yeah)

[Verse 4: Travis Scott]
Passed the dawgs a celly, sendin' texts, ain't sendin' kites, yeah
He said ""Keep that on lock"", I say ""You know this shit, it's stife"", yeah
It's absolute, yeah (yeah) I'm back, reboot (it's lit!)
LaFerrari to Jamba Juice, yeah (skrrt, skrrt)
We back on the road, they jumpin' off, no parachute, yeah
Shorty in the back
She said she workin' on her glutes, yeah (oh my God)
Ain't by the book, yeah, this how it look, yeah
'Bout a check, yeah (check), just check the foots, yeah
Pass this to my daughter, I'ma show her what it took (yeah)
Baby mama cover Forbes, got these other bitches shook, yeah
Yeah!"
R.I.P. SCREW,"[Intro: Swae Lee, DJ Screw & Travis Scott]
Ya know? (Southside)
Rest in peace to Screw, tonight we take it slowly
I’m gonna let you know, the way
I’m gonna let you know, the way
I'm gonna take it all and clean it
I'm gonna take it all and spend it
(Southside)

[Verse 1: Swae Lee & DJ Screw]
And that's all I've been sayin' (Southside)
If you fall for the games then you’re the one playin’
Because it's too much money out here
And there's too many honeys out here
Feel like a trip off the drank, that's weird
Feel like a trip off the drank, that's weird

[Chorus: Travis Scott]
Rest in peace to Screw, tonight we take it slowly
Oh my God, I just can feel the love
Drop top with the windows up
Jump inside, oh won't you roll with us?
Make the devil bite the angel dust
Shawty, shawty, please
Shawty would you go?
Shawty what you like?
Tell me what you want

[Verse 2: Travis Scott]
Rest in peace to Screw, tonight we take it slowly, yeah
I just took a four to the head like ""mane""
Drop the top on the slab, like ""mane""
Off the top of the dome like ""mane""
Nothin' beatin' home like ""mane""
In the Screw tape zone like ""mane""
I go Pimp C on the phone like ""mane""
Flip say platinum, don't do chrome like ""mane""
Had the Southside fade now let the braids hang
This shit S.U.C smooth like ""mane""
Rest in peace, Screw, like ""mane""

[Chorus: Travis Scott]
Rest in peace to Screw, tonight we take it slowly
Oh my God, I just can feel the love
Drop top with the windows up

[Outro: Travis Scott]
Screw found international sound because...
...throughout the South, and it's new to um...
Shawty got a thing for us"
STOP TRYING TO BE GOD,"[Intro]
This is the real action, the pot party, the trippers, the grasshoppers
The hip ones, all gathered in secrecy
And flying high as a kite

[Pre-Chorus: Kid Cudi & Philip Bailey]
Hmm-hmm
Just know what this about
Hmm-hmm-hmm, hmm-hmm
Palm trees, oceans, fresh air that can break your heart

[Chorus: Kid Cudi & Philip Bailey]
Hmm-hmm (stop tryna be God)
Hmm-hmm, hmm-hm
Hmm-hmm (stop tryna be God)
Hmm-hmm (that's not who you are)
Hmm-hmm (stop tryna be God)
Hmm-hmm (that's just not your, job)
Hmm-hmm (stop tryna be God, God)

[Verse 1: Travis Scott]
Ride for it every night
Visions and these angles tight
Truth be told, I never try
Diamonds are the wife of life
All three Rollies look alike
After two you get a hook-up price
Stripper never worked a nine-to-five
Delta and I ship it overnight
Stop tryna be God Almighty
Fuck the money, never leave your people behind, yeah
It's never love, no matter what you try
Still can see it comin' down your eyes
'Cause they did not create commandments (ooh-ooh)
When you hustle, always make it fancy (ooh-ooh)
The signal's far from what you can be (ooh-ooh)
'Cause air traffic controls the landing, yeah, yeah, yeah, yeah

[Chorus: Kid Cudi & Philip Bailey]
Hmm-hmm (stop tryna be God)
Hmm-hmm, hmm-hm
Hmm-hmm (stop tryna be God)
Hmm-hmm (that's not who you are)
Hmm-hmm (stop tryna be God)
Hmm-hmm (that's just not your job)
Hmm-hmm (stop tryna be God, God)

[Verse 2: Travis Scott]
Stop tryna play God Almighty
Always keep your circle tight
I been wantin' shit my whole life
I'm warning you, you bet not try to play God tonight
If I love her I'ma pass her one
First rule of war, you find an act of one
You can't win a trophy or a plaque off her
But never turn your back on her
'Cause they did not create commandments
When you hustle, always make it fancy
The signal's far from what you can be
'Cause air traffic controls the landing, yeah, yeah, yeah, yeah
You won't succeed tryna learn me
Stick to the roads in my journey
Stay out of court when you got the attorney
She say she love me but want to really burn me

[Chorus: Kid Cudi & Philip Bailey]
Hmm-hmm (stop tryna be God)
Hmm-hmm, hmm-hm
Hmm-hmm (stop tryna be God)
Hmm-hmm (that's not who you are)
Hmm-hmm (stop tryna be God)
Hmm-hmm (that's just not your job)
Hmm-hmm (stop tryna be God, God)

[Bridge: James Blake]
Is it the complex of the saint
That's keepin' you so, so, so still?
Is it a coat of old paint
That's peelin' every day against our will?
Is it too long
Since the last open conversation you had? Oh, no
And did you see the void in the past?
And can you ever see it comin' back?
Well, can you always be a step ahead of it for me?
Well, can you always be a step ahead of it for me?

[Outro: James Blake & Stevie Wonder]
Woah-oh-oh
Woah-oh-oh
Woah-oh-oh
Woah-oh-oh
That it?"
NO BYSTANDERS,"[Bridge: Juice WRLD]
The party never ends
In a motel, laying with my sins, yeah
I'm tryna get revenge
You'll be all out of love in the end

[Pre-Chorus: Travis Scott]
Spent ten hours on this flight, man
Told the pilot ain't no flight plans
Can't believe whatever I'm seeing
And they know whenever I land
Yeah, yeah, yeah, yeah

[Chorus: Sheck Wes]
Fuck the club up, fuck the club up (bitch)
Fuck the club up, fuck the club up (bitch)
Fuck the club up, fuck the club up
Fuck the club up, fuck the club up (yeah)

[Bridge: Juice WRLD]
The party never ends
In a motel, laying with my sins, yeah
I'm tryna get revenge
You'll be all out of love in the end

[Verse 1: Travis Scott]
Bicentennial man, put the city on slam
She get trippy off Xans
Lost 21 grams, and she did it on cam
Weren't no video dance
Make my own rules, I really don't pick, I just choose
I don't set picks, I just shoot
Chopper gettin' screwed
I told her it's B.Y.O.B., that mean buy your own boobs
Put it on God, He the one who put me on top
Can't be put in a box
Gotta move on the opps, never got the move on the drop
Niggas tryna move on the Scott
And move that deep, tryna run down, shit's deep
Gotta act a fool with the squad
Next city, no sleep, back to the 713

[Pre-Chorus: Travis Scott]
Spent ten hours on this flight, man
Told the pilot ain't no flight plans
Can't believe whatever I'm seeing
And they know whenever I land
Yeah, yeah, yeah, yeah

[Chorus: Sheck Wes]
Fuck the club up, fuck the club up (bitch)
Fuck the club up, fuck the club up (bitch)
Fuck the club up, fuck the club up
Fuck the club up, fuck the club up (yeah)

[Verse 2: Travis Scott]
Heartbreak hotel
Bet you can't take no L's
Plug like AOL
Who say that I ain't gon' sell?
Hand me the H, I'll sell
She said ""I got it, nigga""
I said ""I ain't gon' tell""
Buy it by the pound so it ain't no scale
I'm sick of the drank (the drankin')
The flippin' of paint (the paint, yeah)
Grippin' the grain (the grain, yeah)
Whipping Wu-Tang (Wu-Tang, yeah)
My niggas gon' flame (bang, yeah)
Bitch, I'm with gang (gang, yeah)
Got your bitch on the plane

[Pre-Chorus: Travis Scott]
Spent ten hours on this flight, man
Told the pilot ain't no flight plans
Can't believe whatever I'm seeing
And they know whenever I land
Yeah, yeah, yeah, yeah

[Chorus: Sheck Wes]
Fuck the club up, fuck the club up (bitch)
Fuck the club up, fuck the club up (bitch)
Fuck the club up, fuck the club up
Fuck the club up, fuck the club up (yeah)

[Segue: Juice WRLD]
The party never ends

[Chorus: Sheck Wes & Juice WRLD]
Fuck the club up, fuck the club up (bitch)
Fuck the club up, fuck the club up (bitch)
Fuck the club up, fuck the club up
Fuck the club up, fuck the club up (yeah)
The party never ends

[Verse 3: Travis Scott]
Family function, ain't no friends, had a line around my ends
Turned 'em into Ms, why you tryna make amends?
What's that smell? It's heaven's scent
Like I drop shade out the wind
Dodgin' hella sins, I can't go back there again
Nah, the dawgs ain't civilized, take the one, feel vilified
You can't see my suns, like the light don't hit this eye
In the function and I'm fried, this here strive is not a drive
When they open wide, it's a riot, riot

[Outro: Sheck Wes]
Fuck the club up, fuck the club up (bitch)
Nah, nigga, nah, nigga, for real, we walkin' in this bitch heavy
Fuck the club up, fuck the club up (bitch)
Fuck the club up, fuck the club up
They know me when they see me, nigga, ahhh!
Fuck the club up, fuck the club up (yeah)"
SKELETONS,"[Refrain: Travis Scott, Pharrell Williams, Tame Impala & The Weeknd]
Yeah yeah yeah (yeah, ooh)
Feels like slow motion, we're floating at the speed (yeah)
(yeah, yeah)
Louder (louder)
Higher, higher, higher, higher, higher (uhh, yeah)
It's like standing in the ocean

[Verse: Travis Scott, Pharrell Williams, & The Weeknd]
We just rocked Coachella, I gave her half of the check
It was good sex, honorable mention to the net
Just let this wash on me
Didn't pass the loud, that was out of respect
Afterwards, pass the towel, I was out of Kleenex
If you take your girl out, do you expect sex?
If she take her titties out do you expect checks?
First visit, I gave her a pearl necklace
Next visit, I'ma need your girl naked
Took a church visit, you know, 'cause the world hectic

[Bridge: The Weeknd & Pharrell Williams]
Like floating, if I can't be in time
I don't know, I don't know (wash on me, wash on me, yeah)
In the ocean, if I can't be loved
I don't know a sound
(That’s right)

Outro: Pharrell Williams, Travis Scott, Tame Impala & [The Weeknd]
Standing in the ocean (standing in the ocean) (Ooh)
Let memories makes wave
Echoing (echoing), echoing
Standing in the ocean
(Oh, baby)
Standing in the ocean
Feels like slow motion, we're floating at the speed"
WAKE UP,"[Chorus: The Weeknd]
I don't wanna wake up
I want you spread out on the sheets
Said her pussy so good
And her pussy so sweet, oh
I don't wanna wake up
I want it flowing through my streams
Getting me hot
Under my feet
I don't wanna wake up

[Verse 1: Travis Scott]
Please don't wake me up, I feel it creeping (yeah)
Controlling how you moving, lucid dreaming (dreams)
Always on the side of different seasons, yeah, yeah
Took the belt-way down to your hood (it's lit)
Say you was in the crowd, I never looked
Looking back how things came back around
Guess I was hooked
Burn the bread and then we burn the town
We both was cooked, yeah
Nah, nah, please don't wake me up, feel like I'm dreamin'
Any given Sunday, you can get it, Willie Beamen
I can make your Mondays even better like the weekend (yeah)
That’s my coco I'm her Ice-T (coco)
Bend her over for some piping (it's lit!)
Bust a cloud, shoot the lightning (pop it)
Pop it now, no, we can't sleep

[Chorus: Travis Scott]
I don't wanna wake up (yeah)
Want you spread out on the sheets (it's lit!)
Say, pussy so good (pop it)
Oh, pussy so sweet (yeah)
When I wake up (yeah, yeah)
Wanna drop top on the beach (straight up)
Getting me high, yeah (yeah)
Under my feet
When I wake up

[Verse 2: The Weeknd]
You decide if I live or die
When you're close, I'm alive, I can feel the sky
I just want your body close to me, oh
And if I OD
I'll be alone with no heartbeat
I hold the hills with a coast in the Lambo
And the doors going up, suicide

[Chorus: The Weeknd]
I don't wanna wake up (I don't wanna wake up)
I want you spread out on the sheets (want you spread out on the sheets)
'Cause that pussy so good, (pussy so good) yeah
Girl, that pussy so sweet (so sweet)
I don't wanna wake up (I don't wanna wake up)
I want it flowing through my streams (want it flowing through my streams)
Ha, getting me hot (getting me hot)
Oh, under my feet (my feet)
I don't wanna wake up (yeah)"
5% TINT,"[Chorus]
Who's that creeping through my window?
'Fore you come outside, I got the M4
Took her to the endzone from The Ends, though
Know I love to smoke, you love to lick more
Wanna hit the Jack, then what you call for?
All that out-your-name shit, that ain't called for, mm

[Verse 1]
Who that creepin'? Know the tint is dark (five percent)
All that fall-in-love shit, gotta Kevin Hart (yeah, yeah)
All that speed and fly shit, we might teleport, yeah (skrr, skrr)
All that cop harass shit, I might clip a sarge, yeah (twelve)
Keep bouncin' that ass, you just might get award, yeah
If she bad, she get a pass into the tour (passes, yeah)
I pick through the family
Grab the bad sister like Janet
Opps outside, don't panic
Gotta switch, gotta change up transit
Still jump around, move antsy
And I still don't like shit fancy
Up late feelin' real chancy
They outside really tryna end me, yeah

[Chorus]
Who's that creeping through my window? (my window)
'Fore you come outside, I got the M4 (M4)
Took her to the endzone from The Ends, though (yah)
Know I love to smoke, you love to lick more (eah)
Wanna hit the Jack, then what you call for? (yah)
All that out-your-name shit, that ain't called for (yah)

[Verse 2]
Who the fuck is this?
Met somebody baby mama inside of the VIP, while I'm tryna tip
Shawty said she holding, got a razor in her lip
Mix my cup and twist one up, I love that ratchet shit
She like ""I-i-iced out wrist, iced out, iced out wrist"" (iced out wrist)
Fuck don't kiss, fuck, she fuck don't kiss (mwah)
Look like friends, but she say they twins (twins)
Jump right in, there's leg room in this Benz (leg room in this Benz)
Ten miles to the crib, you know that's deep (deep, yeah)
I think there's someone out there watching me, yeah

[Chorus]
Who's that creeping through my window? (my window, who?)
'Fore you come outside, I got the M4 (M4)
Took her to the end zone from The Ends, though (yeah)
Know I love to smoke, you love to lick more (lick)
Wanna hit the Jack, then what you call for? (yah, Jack)
All that out-your-name shit, that ain't called for (yah)

[Outro]
Who's that creeping through my window?
'Fore you come outside, I got the M4
Took her to the end zone from The Ends, though
Know I love to smoke, you love to lick more"
NC-17,"[Intro: Travis Scott]
Ooh

[Chorus: Travis Scott]
Me and my bitch, I swear we like the same sex (ooh)
Fuck with all my chains on, let's have chain sex (serve, yeah)
Hangin' with the gang, you get your fangs wet (wet)
Wanna kick with the gang, you gotta bang it (it's lit)
If you gon' throw ice on, gotta swang it (ice)
Holes in the wall, I can not hang it (nah)
Pour different colors, sippin', tainted (ooh)
Woah, think of vibe, just start vibratin' (vibe)

[Verse 1: Travis Scott]
Don't do playgrounds, we do not swing sets (swing)
Shawty got the K, don't entertain threats (grah-grah)
Shawty came my way she brought the same sex (same)
Bust it down, she talkin' body language (it's lit)
Eating that punane got my bangs wet (eat it up)
We gon' have to change for the banquet (drippin')
Solo with Mulsanne, it's not the same specs (skrrt, skrrt)
Pull up, left with something I ain't came with (alright)

[Interlude: Travis Scott]
Woah, woah, woah, woah, woah
Woah, woah, woah, woah
Ice, froze, glow
Get, glow, get, glow (yah, yah!)

[Verse 2: 21 Savage]
Three main bitches thinkin' they my main bitch (21, 21)
Hit the club and swap the hoes I came with (straight up, straight up)
Don't you come outside, we on that gang shit (straight up, straight up)
Had to switch my t-shirt 'cause she stained it (on God)
Had to buy a visa, she from Moscow (21)
Fuckin' 'round with Travis, you get crossed out (crossed out)
He used to be on, that nigga off now (he off now)
I done got so rich, I Saint Laurent my dogs now (straight up, straight up)
Earrings cost a quarter certified by GIA (21)
If it's 'bout my bae or 'bout some smoke I'm on my way (skrrt, skrrt)
Your bitch gave the Kid Cudi but I’m not signed to Ye (on God)
I nutted on her cheek, her new nickname is Babyface (21)

[Chorus: Travis Scott]
Me and my bitch, I swear we like the same sex (ooh)
Fuck with all my chains on, let's have chain sex (serve, yeah)
Hangin' with the gang, you get your fangs wet (wet)
Wanna kick with the gang, you gotta bang it (it's lit)
If you gon' throw ice on, gotta swang it (ice)
Holes in the wall, I can not hang it (nah)
Pour different colors, sippin', tainted (ooh)
Woah, think of vibe, just start vibratin' (vibe)"
